city,total_liters
FREMONT,1348.1000000000001
AINSWORTH,1284.4899999999998
CALMAR,1272.17
POMEROY,1200.55
PRESTON,1171.21
DELMAR,1137.2000000000003
MERRILL,1133.72
AURELIA,1127.75
ARLINGTON,1023.51
STANWOOD,967.5
BLAIRSTOWN,958.75
HOSPERS,936.73
DANVILLE,915.14
MALCOM,888.39
KANAWHA,841.9499999999999
SEYMOUR,824.8699999999999
ALLERTON,815.72
WALNUT,812.3499999999999
MILTON,796.1000000000001
BONAPARTE,779.2
KEYSTONE,711.06
ALBURNETT,638.1
LONETREE,632.45
DENMARK,626.7500000000001
BIRMINGHAM,605.45
HOUGHTON,446.41999999999996
LAMONT,367.12000000000006
DELHI,363.4
SALEM,363.25
MAXWELL,294.54999999999995
EARLING,247.5
CASEY,234.30000000000004
DUNCOMBE,54.0
