vendor_name,total_sales
PRICHARDS DISTILLERY INC,1280.0
MEISENBURG BREWING & DISTILLING,1260.0
EASTERN LIQUORS USA,1170.0
DOC BROWN ENTERPRISES,1155.0
"DRUM CIRCLE DISTILLING, LLC",1008.0
"LBD COFFEE, LLC",918.0
BIG DERBY DISTILLING COMPANY,900.0
CASA 1921 LLC,855.0
WHIDBEY ISLAND DISTILLERIES LLC,844.32
RANSOM SPIRITS LLC,774.0
"BUCKTOWN DISTILLING CO., LLC / ARTISAN GRAIN DISTILLERY",729.0
QUADRO GROUP LLC,656.25
"EOD DISTILLERY, LLC",629.16
HIGHCLERE CASTLE SPIRITS,625.3199999999999
MILE HIGH SPIRITS LLC,594.0
NORTH SHORE DISTILLERY,585.1800000000001
"SANTA FE DISTILLERY, LLC",564.0
"ELIXIR, INC.",540.0
AHA TORO SPIRITS INC / AHA YETO TEQUILA,421.5
"SPLINTER GROUP NAPA, LLC",414.0
DA DUE COMPLIANCE AND LOGISTICS,414.0
WILLIAM WRIGHT / BAY AND ROUSE LLC,405.0
GREEN MOUNTAIN ARTISANAL CELLARS LLC/ ARTISANAL CELLARS,353.28
MODERN SPIRIT LLC / GREENBAR DISTILLERY,345.12
"HAMILTON DISTILLERS GROUP, INC",342.0
HPSEPICUREAN LLC / PREISS IMPORTS,306.0
SC DISTILLATION LLC / VILLAGE GARAGE DISTILLERY,270.0
MOUNTAIN LAUREL SPIRITS LLC,261.0
TENNESSEE SHINE CO/XXX DISTILLERY LLC,240.0
WILD AGAVE IMPORTS LLC,224.58
"SEVEN JARS DISTILLERY, LLC",197.01
DURHAM DISTILLERY,181.44
SURVILLE ENTERPRISES CORP,129.06
EGGHEAD TOO LLC/ ARE CONCEPTS,100.05000000000001
BLUFF CREEK DISTILLERY,60.0
