name,total_sales,sum(sale_liters)
JIM'S FOODS  /  CEDAR RAPIDS,371239.1799999999,13523.579999999996
WAL-MART 3150 / COUNCIL BLUFFS,367786.41000000003,22790.15
TIPTON FAMILY FOODS,366978.72000000003,24763.64
WAL-MART 2889 / CLINTON,365068.24,26056.6
KWIK STOP 3 / WATERLOO,364922.82,15505.779999999993
SUPER QUICK MART / WINDSOR HEIGHTS,364115.37999999983,15795.16999999999
WAL-MART 5115 / DAVENPORT,362601.42999999993,23380.41
MMDG SPIRITS / AMES,359367.67000000004,36785.75
"RAY'S SUPERMARKET, INC.",358856.99999999994,14320.549999999987
LIQUOR DOWNTOWN / IOWA CITY,358105.76999999996,17121.65
STAMMER LIQUOR CORP,356820.08000000013,22347.989999999987
HY-VEE FOOD STORE / GRINNELL,356498.49000000005,20982.39
FAREWAY STORES #850 / SPIRIT LAKE,355873.51999999996,25893.620000000003
JIFFY #926 / SPIRIT LAKE,354803.25,25839.5
PRIME MART - CEDAR FALLS,354722.06000000006,14643.67
HY-VEE DRUGSTORE #4 / CEDAR RAPIDS,354566.95,29587.7
KAREN'S SPIRITS AND WINE,351679.61,18067.859999999997
TWIN TOWN LIQUOR,348925.41,22194.119999999995
DUBUQUE WINE & SPIRITS,348067.25,15744.949999999999
THE LIQUOR STOP LLC,346193.5899999999,13492.289999999997
RANDALL'S STOP N SHOP,345845.25,23256.139999999996
WAL-MART 3394 / ATLANTIC,344456.0399999999,21153.85
WORLD LIQUOR & TOBACCO + VAPORS,344352.18,17331.969999999994
AJ'S LIQUOR II,344198.43000000005,19607.299999999992
KWIK STOP 4,344008.0399999999,12278.479999999996
HY-VEE  /  JEFFERSON,343007.12,22483.0
FAREWAY STORES #909 / ANKENY,340930.35,19390.159999999996
TARGET STORE T-1771 / CEDAR RAPIDS,340777.05999999994,17815.5
EASYGO,340706.3099999999,12882.03
WEST D LIQUORS,340018.47000000003,14730.989999999998
FAREWAY STORES #061 / ANKENY,337170.80000000005,21132.799999999996
FAREWAY STORES #705 / CLEAR LAKE,337109.88,23870.9
FAREWAY STORES #639 / MAQUOKETA,336418.82999999996,23965.05
"SPIRITS, STOGIES AND STUFF",336043.02,17789.199999999993
RODGERS SPIRITS AND MORE,333965.9000000001,20108.599999999995
OSCO #1118 / CLINTON,333002.1700000001,23990.009999999995
LIQUOR TOBACCO & GROCERY - MASON CITY,332833.51,15530.439999999997
FAREWAY STORES #058 / ORANGE CITY,331454.65,21191.1
RIVERSIDE LIQUOR 2 / DAVENPORT,330111.12,13006.16
SAM'S MINI MART / SIOUX CITY,329060.23,16401.579999999994
LIQUOR ON THE CORNER,328390.27,18455.709999999992
FAMOUS LIQUORS,328366.98000000004,19252.1
KEYSTONE LIQUOR,327881.9099999999,12969.55
WAL-MART 0646 / ANAMOSA,325900.12,22147.57
CORK IT!,324600.33,14912.73
WAL-MART 0559 / MUSCATINE,324554.68,22721.699999999997
WORLD LIQUOR & TOBACCO + VAPORS / DES MOINES,323836.58999999997,11760.839999999998
AJ'S LIQUOR III,323443.12,35361.2
RIVERSIDE LIQUOR,323143.6199999999,12944.539999999997
BENDER'S FOODS,318955.9400000001,19262.62
FAREWAY STORES #093 / AMES,318456.31999999995,17639.21
TOBACCO OUTLET & LIQUOR,317382.1299999999,11267.05
FAREWAY STORES #900 / EUCLID,315761.52999999997,18925.819999999996
BIG G FOOD STORE,315688.51999999996,23816.749999999993
FAREWAY STORES #963 / CEDAR RAPIDS,315680.32000000007,21680.23
DOUBLE D LIQUOR STORE / WAUKON,315431.1500000001,21319.289999999997
FAREWAY STORES #699 / OSCEOLA,314257.21,19548.43
EAST END LIQUOR / DES MOINES,313863.83,14116.42999999999
FAREWAY STORES #648 / OTTUMWA,312838.72,17785.949999999997
WAL-MART 1389 / BOONE,312185.31999999995,19389.45
HY-VEE FOOD STORE / CENTERVILLE,311002.6000000001,19358.79
FAREWAY STORES #044 / BETTENDORF,310144.4700000001,19388.239999999998
"UPTOWN LIQUOR, LLC",306186.45999999996,20686.47
AMBYSURE INC / CLINTON,304112.87,15703.66
ALS LIQUOR,303779.05999999994,15880.550000000001
BANI'S / CEDAR FALLS,302967.85,15276.539999999999
BEST FOOD MART 3  LLC,302859.23999999993,11244.220000000003
WAL-MART 0581 / MARSHALLTOWN,302397.23999999993,19761.67
